index,sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description,customer_id,payment,order_date,delivery_date,delivery_time,customer_name,gender,age,home_address,zip_code,city,state,country,status,age_group
2858,2858,572,240,106,2,212,Shirt,Chambray,XS,violet,105,47,"A violet coloured, XS sized, Chambray Shirt",479,34112,2021-01-01,2021-01-06,5.0,fulan 479,Prefer not to say,20,621 Eve View RdApt. 900,789,Mullerberg,Western Australia,Australia,Active,Youth
2859,2859,572,906,94,2,188,Trousers,Cords,S,violet,113,65,"A violet coloured, S sized, Cords Trousers",479,34112,2021-01-01,2021-01-06,5.0,fulan 479,Prefer not to say,20,621 Eve View RdApt. 900,789,Mullerberg,Western Australia,Australia,Active,Youth
86,86,18,452,107,1,107,Jacket,Denim,M,violet,92,43,"A violet coloured, M sized, Denim Jacket",299,22902,2021-01-01,2021-01-03,2.0,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
85,85,18,1110,115,3,345,Trousers,Cropped,XS,indigo,99,55,"A indigo coloured, XS sized, Cropped Trousers",299,22902,2021-01-01,2021-01-03,2.0,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
84,84,18,285,105,1,105,Shirt,Cuban Collar,XS,orange,93,62,"A orange coloured, XS sized, Cuban Collar Shirt",299,22902,2021-01-01,2021-01-03,2.0,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
82,82,18,35,104,1,104,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",299,22902,2021-01-01,2021-01-03,2.0,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
3395,3395,683,576,100,1,100,Jacket,Bomber,S,green,90,54,"A green coloured, S sized, Bomber Jacket",276,59748,2021-01-01,2021-01-05,4.0,fulan 276,Prefer not to say,56,410 Ryan CrescentApt. 461,9665,Gardenport,Victoria,Australia,Active,Adults
3394,3394,683,1016,90,3,270,Trousers,Relaxed Leg,S,red,95,70,"A red coloured, S sized, Relaxed Leg Trousers",276,59748,2021-01-01,2021-01-05,4.0,fulan 276,Prefer not to say,56,410 Ryan CrescentApt. 461,9665,Gardenport,Victoria,Australia,Active,Adults
3390,3390,683,4,96,3,288,Shirt,Oxford Cloth,XL,red,114,47,"A red coloured, XL sized, Oxford Cloth Shirt",276,59748,2021-01-01,2021-01-05,4.0,fulan 276,Prefer not to say,56,410 Ryan CrescentApt. 461,9665,Gardenport,Victoria,Australia,Active,Adults
3391,3391,683,753,109,2,218,Jacket,Peacoat,L,green,102,73,"A green coloured, L sized, Peacoat Jacket",276,59748,2021-01-01,2021-01-05,4.0,fulan 276,Prefer not to say,56,410 Ryan CrescentApt. 461,9665,Gardenport,Victoria,Australia,Active,Adults
